year,patent_id,wipo,query_type,query_text,attempt_used,query_word_count,leak_overlap_count,leak_overlap_ratio,leak_query_ngram_count,status
2025,12263501,21,keyword,"Search patents for a compound applicator featuring a spring‑biased plug nozzle, cylindrical compound chamber, rotatable handle, cam‑driven pull rod with roller followers, and adjustable pin‑slot mechanism, all fabricated from plastic or stainless steel components.",2,37,0,0.0,28,ok
2025,12263501,21,function,"Invention describes a compound dispensing tool where a handle‑driven cam system actuates a plug‑sealed nozzle from closed to open against a spring bias, enabling precise application of stored material, and includes an adjustable pin for variable handle positioning relative to the housing.",2,44,0,0.0,29,ok
2025,12303722,13,summary,"Search for non‑invasive cranial ultrasound therapy devices featuring multiple head‑mounted transducers positioned for left/right internal carotid, basilar, and external carotid arteries, with a programmable controller coordinating sequential activation for targeted treatment.",1,34,0,0.0,26,ok
2025,12303722,13,keyword,"transcranial therapeutic ultrasound system with at least five head-mounted transducers targeting left/right internal carotid, basilar, left/right external carotid arteries, adjustable headpiece, sequential activation controller, non-imaging treatment application.",1,31,0,0.0,27,ok
2025,12303722,13,function,"Search for therapeutic cranial ultrasound apparatus utilizing multiple head‑anchored transducers positioned over internal carotid, basilar, and external carotid arteries, controlled by programmable sequencing to deliver targeted energy for vascular treatment.",2,31,0,0.0,24,ok
2025,12243857,5,summary,"Series insulated blocks that magnetically and capacitively convey a low‑level drive signal to a high‑voltage IGBT driver, electrically isolating the high‑power side while maintaining signal fidelity, thereby boosting driver isolation performance.",2,34,0,0.0,26,ok
2025,12243857,5,keyword,"Search for semiconductor ICs featuring an IGBT gate electrode drive coupled through series insulated magnetic or capacitive elements that transmit low‑voltage control signals while isolating the IGBT gate electrode from high‑voltage circuitry, preventing reverse leakage.",1,37,0,0.0,28,ok
2025,12243857,5,function,"Search for semiconductor devices that provide series isolation stages coupling control signals magnetically or capacitively between control and power sections while blocking high‑voltage leakage, enabling reliable high-to-low voltage interfacing for switching transistors.",2,35,0,0.0,27,ok
2025,12420069,13,summary,"Intra‑vascular sheaths featuring a distal inflatable occlusion balloon with proximal‑side vent perforations that expel only gas to prevent fluid leakage, allowing controlled blood flow arrest during intervention procedures.",2,30,0,0.0,24,ok
2025,12420069,13,keyword,"Search for a balloon‑guided vascular sheath comprising a proximal access port, a distal outlet, concentric inner and outer tubes, an inflation lumen feeding a distal inflatable balloon, and a proximally positioned vent opening that vents air yet blocks fluid.",3,40,1,0.03571428571428571,28,failed_constraints
2025,12420069,13,function,"search for elongated catheter sheaths with distal inflatable occlusion balloons, vent holes permitting air venting but blocking liquid exit, positioned proximally to the balloon, intended to occlude vessel flow during intracranial endovascular procedures.",1,33,0,0.0,25,ok
2025,12198302,6,summary,"Search for a system that extracts a weighted mask of a human figure from an input photo, then blends this figure with a second image according to mask probabilities, and trains a neural model on samples with simple and varied backgrounds to improve soft segmentation accuracy.",2,46,0,0.0,26,ok
2025,12198302,6,keyword,"segmentation model trained on single‑ and multi‑background portraits that outputs per‑pixel confidence masks (0–1) used to composite person silhouettes onto arbitrary backgrounds via alpha blending, displayed on consumer device interfaces.",1,33,0,0.0,24,ok
2025,12198302,6,function,"Find technology that produces a probability mask for a person in a photo, fuses the subject with a new background using the mask, and presents the blended image on a user interface.",3,32,0,0.0,16,ok
2025,12416397,1,summary,"Search for adjustable photographic light boom arms with modular, angle‑adjustable supports integrating a docking system, fixed block, sliding mounting, and spring‑tension length control for greater versatility and efficient shooting.",1,31,0,0.0,23,ok
2025,12416397,1,keyword,"Search patent documents describing an adjustable photography boom arm that incorporates slidably‑connected mounting bores, a connecting rod with rotating studs and limit blocks, clamping wedges, sliding grooves, axial springs, and threaded adjustment shafts for variable arm length and multi‑angle positioning.",2,42,0,0.0,32,ok
2025,12416397,1,function,"Searching for prior art on an adjustable boom arm for light stands that uses interlocking support sections with sliding docking mechanisms, locking rods, and threaded adjustments to vary overall length and angles for enhanced photography efficiency.",1,36,0,0.0,24,ok
2025,12381991,2,summary,"An app that auto‑detects a photo capture, displays a pre‑authorized menu, and on user selection creates an access token for a cloud photo platform, stores it locally, and uploads the image via that token.",2,36,0,0.0,21,ok
2025,12381991,2,keyword,"search for methods where a smartphone in pre‑authorization state detects photo capture, presents a first GUI menu, accepts user choice, shows a second GUI to interact with an image cloud, generates and stores an auth token, and uploads the image file using that token.",3,45,2,0.06896551724137931,29,failed_constraints
2025,12381991,2,function,"What prior art discloses a mobile device that, upon capturing an image, automatically displays a primary menu, awaits a user selection while remaining in a pre‑authorization state, generates an authorization token for an online image service, stores that token, and then uploads the captured image using that token?",3,49,2,0.0625,32,failed_constraints
2025,12205307,10,summary,"Search for methods to detect moving subjects during 3‑D laser scan acquisition by combining orthogonal rotor and head rotations at variable speeds, interleaving scan passes to spot distance inconsistencies across overlapping measurement points.",2,34,0,0.0,24,ok
2025,12205307,10,keyword,"Search for prior art in laser scanning systems with rotatable stator‑rotor assemblies, dual‑axis rotary heads, vertical and horizontal angle encoders, variable angular velocities, time‑offset scan sections, distance mismatch evaluation for moving object detection, and point‑cloud generation from moving target detection.",3,44,0,0.0,35,ok
2025,12205307,10,function,"Search for laser scanning systems that use a vertically spinning rotor and horizontally rotating body to create time-offset scan paths, enabling rapid detection of moving objects by comparing distance data from interleaved measurement points in a static environment.",1,39,0,0.0,27,ok
2025,12194334,33,summary,Search for a hook-shaped mounting device for gym equipment that freely rotates between positioned angles and includes a built‑in limiting mechanism to lock the angle during use.,2,29,0,0.0,18,ok
2025,12194334,33,keyword,"Search for angle‑adjustable exercise handle featuring a hook‑like mounting frame joined to a grip assembly via a rotatable joint, including adjustable orientation holes, a limiting cylinder with adjustment ring, and mating bearing slots.",2,35,0,0.0,25,ok
2025,12194334,33,function,"search for fitness equipment accessories featuring a pivoting hook-shaped attachment that can be positioned at multiple angles, limited by a removable column and ring mechanism to clamp the range of motion, enabling diverse exercise configurations",2,36,0,0.0,23,ok
2025,12331058,16,summary,"Synthesis and use of novel small‑molecule inhibitors that simultaneously target SHP2 phosphatase and CDK4/6 kinases, designed by pharmacophore fusion to overcome resistance seen with single‑target agents.",1,29,0,0.0,19,ok
2025,12331058,16,keyword,"Search for small-molecule dual inhibitors of SHP2 and CDK4/6 featuring fused pharmacophores with heteroaromatic rings, heterocyclic scaffolds containing N,O,S atoms, and variable alkyl/aryl substituents, including enantiomers, salts, and prodrugs.",1,34,0,0.0,22,ok
2025,12331058,16,function,Search for small‑molecule inhibitors that concurrently target SHP2 phosphatase and CDK4/6 kinases to overcome drug resistance and improve therapeutic efficacy in oncology.,1,24,0,0.0,15,ok
2025,12365890,15,summary,"Engineering a yeast strain with a CYR1 variant that stabilizes cAMP levels, enhancing production and activity of foreign enzymes, including in polyploid cells, for scalable industrial fermentation.",2,27,0,0.0,17,ok
2025,12365890,15,keyword,"Yeast recombinant host expressing altered CYR1 variant for enhanced cAMP production and increased heterologous enzyme yield, including polyploid strains, with mutated residues for regulated intracellular signaling.",2,26,0,0.0,20,ok
2025,12365890,15,function,"Yeast host engineered with a CYR1 variant that normalizes intracellular cAMP regardless of external stimulus, thereby boosting heterologous protein production, activity, and potentially polyploidy.",1,24,0,0.0,17,ok
2025,12223198,6,summary,Search for methods that dynamically adjust the temperature threshold of an SSD’s thermal throttling from a higher startup value to a lower operational value and further modify thresholds during application launch or device contention to manage performance and heat.,1,40,0,0.0,24,ok
2025,12223198,6,keyword,"Search for solid‑state drive thermal throttling apparatus that implements two temperature thresholds, adjusts limits from startup to post‑boot, and dynamically raises throttle during application startup conflicts using a memory controller to modify temperature limits.",3,36,1,0.037037037037037035,27,failed_constraints
2025,12223198,6,function,"search for a control system that dynamically adjusts a storage device's thermal throttling thresholds during startup and after boot, lowering initial threshold, then raising or adjusting when applications start or multiple jobs conflict, using a memory controller to manage multiple throttling functions.",2,43,0,0.0,30,ok
2025,12408609,18,summary,"Hybrid pumpkin variety “LEMONADE”, its seeds, vegetative parts, and breeding techniques including self‑ or cross‑pollination, plus targeted single‑locus genetic editing to incorporate a specific characteristic into the plant.",2,30,0,0.0,21,ok
2025,12408609,18,keyword,"Search for prior art on hybrid pumpkin varieties named “LEMONADE”, including seeds, plant parts, and breeding methods using single‑locus genetic conversion for trait incorporation, self‑crossed or crossed with other pumpkin cultivars, focusing on seed accession repositories and trait‑specific introductions.",2,42,0,0.0,32,ok
2025,12408609,18,function,"Seed registry and breeding technique for a pumpkin cultivar achieving particular trait by inserting a single genetic locus and self‑or cross‑pollination, including sample deposition and trait expression in harvested fruits.",2,32,0,0.0,21,ok
2025,12423576,6,summary,"Describe a method for adaptive parameter updating in a multi‑task advertising recommendation system with separate queues for click‑through and conversion tasks, training shared and task‑specific layers on queued data, computing weighted gradients, and synchronizing updates via a parameter server.",1,42,0,0.0,29,ok
2025,12423576,6,keyword,"Search for methods and systems that update multi‑task deep learning models for online advertising by sequentially enqueueing sample streams per task, training shared embeddings and task‑specific sub‑networks, computing gradients when queue size meets a threshold, and applying weighted updates to a distributed parameter server.",2,47,0,0.0,34,ok
2025,12423576,6,function,"Search for methods that update a multi‑task neural network for advertisement recommendation, using task‑specific sample queues, training shared layers and task‑specific sub‑networks, computing task‑weighted gradients, and applying parameter updates via a parameter server.",1,38,0,0.0,29,ok
2025,12280235,13,summary,"Search for an automated liquid‑dispensing system for compressible IV bags that employs a spring‑driven roller guided by parallel tracks to compress the bag on a mat, enabling controlled flow and remote monitoring of dispensing rate, status, and remaining volume.",1,41,0,0.0,26,ok
2025,12280235,13,keyword,"Search for medical IV bag dispenser featuring a housing with dispensing and rear ends, parallel guiding tracks, a rotary roller core integrated with an internal torsion spring, a flexible mat on the base, and a sensor‑display system for regulating flow rate.",3,42,1,0.037037037037037035,27,failed_constraints
2025,12280235,13,function,"spring‑driven roller mechanisms for compressible medical fluid bags, guided by parallel tracks, that rotate to compress and dispense liquid, employing a supporting mat on a flat surface within an IV administration system.",1,33,0,0.0,22,ok
2025,12342240,13,summary,"Multisensor network that monitors speech, noise, temperature and contextual cues to forecast anger, addiction or rule‑break risks, initiates proactive interventions, evaluates their effectiveness, and iteratively adapts sensor usage to lower future risk.",1,33,0,0.0,24,ok
2025,12342240,13,keyword,"Search for integrated multi‑sensor systems combining acoustic monitoring, speech analysis, body temperature, ambient environmental data, and networked decision logic to detect anger or addiction triggers, predict risk thresholds, trigger preventative actions, and adapt algorithms after outcomes.",2,37,0,0.0,30,ok
2025,12342240,13,function,"Search for intelligent monitoring systems using multimodal sensors (voice, body temperature, ambient environment) that predict impending risky or violating behaviors and deploy preventive interventions, then assess effectiveness and refine strategies via machine learning.",2,33,0,0.0,26,ok
2025,12254107,6,summary,"A distributed membership management method that processes change requests across multiple administrative units, evaluates permission rules from directory services, determines appropriate role delegations, directs units to apply changes, and informs client devices upon approval.",1,34,0,0.0,27,ok
2025,12254107,6,keyword,"Search for methods that retrieve membership data from directory services, evaluate permission roles for mutually exclusive and non‑exclusive administrative units, determine approved object‑membership changes, and dispatch instruction sets to units plus notifications to client devices.",2,37,0,0.0,27,ok
2025,12254107,6,function,"Search for systems that manage membership requests across multiple administrative units, distinguishing exclusive and non‑exclusive enforcement, evaluating permissions and role delegations to determine approved changes, issuing instructions to units, and notifying client devices.",1,34,0,0.0,25,ok
2025,12264359,15,summary,Engineered Cpf1‑based CRISPR system employing synthetic guide nucleic acids to modulate mammalian gene expression by delivering protein or encoding DNA plus guide sequence that binds target loci and alters transcription.,1,31,0,0.0,24,ok
2025,12264359,15,keyword,Search for CRISPR‑Cpf1 based genome‑editing platforms that co‑deliver the Cpf1 endonuclease protein and a nucleic‑acid‑encoded guide RNA into mammalian cells to modulate target gene expression.,3,30,0,0.0,21,ok
2025,12264359,15,function,Search for engineered nucleases delivering guide RNAs for targeted gene expression modulation in mammalian cells via programmed DNA binding and transcriptional regulation.,2,22,0,0.0,16,ok
2025,12229206,6,summary,"How can a system automatically capture users' search queries, store them, then dynamically adjust displayed webpage content based on aggregated search patterns from multiple engines?",3,25,0,0.0,19,ok
2025,12229206,6,keyword,"Search engine client‑side tracer passively gathers queries, IPs, and result positions; transmits event records via embedded script to an aggregator server that stores logs, performs statistical analysis, selects and injects query‑aligned content into destination pages, updating the site database.",1,41,0,0.0,32,ok
2025,12229206,6,function,"Search query aggregation via client‑side script capturing user query, engine, result ID, position, IP, then filtering and updating page content to match popular searches, generating location‑engine access reports, and feeding back to search engine databases.",1,37,0,0.0,31,ok
2025,12427458,23,summary,"Search for pleated gas‑filter membranes made from a polymer–plasticizer blend, featuring diamond‑shaped pores, a defined tensile modulus between 1.35 and 1.75 GPa, and foldability that maintains a crease for a set duration, potentially biodegradable.",2,39,0,0.0,25,ok
2025,12427458,23,keyword,"Search for pleated polymer netting incorporating a plasticizer with 1.3–1.8 GPa tensile modulus, featuring diamond‑shaped perforations and creaseable pleats for gas filtration, biodegradable films, and reduced material usage.",2,32,0,0.0,20,ok
2025,12427458,23,function,"Search for pleated gas‑filtration membranes made of biodegradable polymer blends, featuring diamond‑shaped apertures, foldable creases for temporary pleats, and specified tensile modulus (≈1.35–1.75 GPa), used to reduce material weight and allow controlled fluid flow.",3,39,1,0.034482758620689655,29,failed_constraints
2025,12217669,2,summary,"A method and circuit for driving display pixels that uses a compensation element to stabilize node voltages during reset, a dedicated control unit to modulate the driving current, and a sequential scanning scheme that eliminates voltage ripple while boosting emitter efficiency.",1,41,0,0.0,27,ok
2025,12217669,2,keyword,"pixel driver architecture with compensation and LED drive, featuring data write, reset, compensation, and emission phases using scan signals and threshold‑controlled transistors to supply current to an OLED device",3,30,0,0.0,21,ok
2025,12217669,2,function,"Search for pixel drive circuitry that uses a compensation network to set node voltages during reset, compensate in a dedicated phase, then output drive current to a display pixel by controlling a voltage node with scan signals, enabling accurate light output and reduced power consumption.",2,45,0,0.0,31,ok
2025,12241585,31,summary,"Search for brackets that align an object to a frame using equal‑spacing mounting holes and dual protruding positioning ridges, enabling precise placement and hook‑based retention on a supporting surface.",1,31,0,0.0,20,ok
2025,12241585,31,keyword,"Search for a mounting assembly featuring a front and side face, two symmetrically spaced through-holes on the front, two equal‑distance positioning protrusions on the side, and a front‑mounted hook to secure objects to a substrate.",2,38,0,0.0,23,ok
2025,12241585,31,function,"search for mounting brackets with symmetrical dual mounting holes spaced identically and paired side protrusions that leave indentation marks for alignment, including a front hook for object support on structures.",1,30,0,0.0,20,ok
2025,12307821,6,summary,"Search for radar-based gesture recognition using millimeter-wave sensing and deep learning; specifically, transform radar echoes into time-frequency spectrograms, embed them in a latent space via a generative neural network, and classify gestures by comparing the embedding mean to learned class clusters.",3,44,0,0.0,31,ok
2025,12307821,6,keyword,"Search for radar‑imaging gesture detection solutions that produce spatio‑temporal frequency matrices from reflected emissions and employ a probabilistic autoencoding neural model to embed data, comparing mean distribution vectors against pre‑defined class regions for motion classification.",2,38,0,0.0,29,ok
2025,12307821,6,function,"Search for systems that employ high‑frequency radar sensors to generate spatio‑temporal spectra of an object’s radar responses, then use a latent‑space neural network to embed the data and classify hand gestures by comparing statistical means to predefined clusters.",2,42,0,0.0,28,ok
2025,12230305,2,summary,"Develop a method controlling a magnetic hard drive head heater that briefly applies high power at write/read initiation to quickly achieve a target head‑disk gap, then progressively reduces power to maintain steady spacing.",1,35,0,0.0,26,ok
2025,12230305,2,keyword,"Magnetic disk drive with a magnetic head heater employing a brief high‑power pulse at write or read start‑up to rapidly saturate the head‑disk gap at a target value, then a firmware‑controlled gradual power reduction to steady‑state heating.",1,42,0,0.0,29,ok
2025,12230305,2,function,"Search for magnetic storage heads employing a temperature-controlled heater that receives an initial high-power burst at read/write initiation to expand the head, then tapers power to maintain a saturated head‑disk spacing, aiming to optimize drive reliability and access performance.",1,43,0,0.0,30,ok
2025,12233899,32,summary,"Find prior art on vehicle systems that use on‑board sensors to detect when a car crosses a defined virtual boundary representing a real‑world location, gather contextual data, and deliver seat haptic cues calibrated to vehicle speed, orientation, and rumble‑strip type.",3,43,1,0.03333333333333333,30,failed_constraints
2025,12233899,32,keyword,"search for systems using vehicle sensor fusion to detect when the car passes a defined spatial boundary, determine road environment data, then activate an actuator inside the driver seat to deliver vibration feedback that depends on speed, orientation and surface type, with damping to isolate other occupants.",2,47,0,0.0,32,ok
2025,12233899,32,function,"Search for vehicle systems detecting a virtual roadway boundary crossing using onboard sensors and conveying haptic seat feedback modulated by speed, orientation, environment, and seat dampening to prevent passenger discomfort.",2,30,0,0.0,22,ok
2025,12270452,31,summary,"Search for shock or damper valves employing an adjustable shim stiffness mechanism via a rotatable plate and spring pair, enabling fluid pressure tuning without altering preload, possibly using posts for rotation limit.",1,32,0,0.0,24,ok
2025,12270452,31,keyword,"Search for a hydraulic pressure‑reduction damper valve featuring a piston‑mounted fluid passage, a shim positioned between the piston and an adjustable stiffness unit, wherein a rotary plate and spring assembly change shim compliance while preserving preload, limited by a post.",1,42,0,0.0,29,ok
2025,12270452,31,function,"Search for fluid damping valves where a piston‑mounted shim has adjustable stiffness via a rotatable plate and spring arrangement that changes pressure sensitivity without altering preload, allowing variable fluid pressure for shim deflection.",1,34,0,0.0,24,ok
2025,12325927,21,summary,"Searching for high‑fidelity copper filling of via arrays on multilayer boards using multi‑mode pulse reverse and direct current electroplating in an acidic copper bath, optimizing center‑first deposition, suppressing voids, and ensuring defect‑free blind via metallization.",3,39,0,0.0,30,ok
2025,12325927,21,keyword,"Search for copper electroplating methods on PCB substrates employing acid copper baths, complex pulse waveforms merging forward, reverse, DC, synchronous pulses and controlled rest periods, with specific counter‑electrode configurations, to achieve flawless metallization of via and aperture features.",3,39,0,0.0,30,ok
2025,12325927,21,function,"Search for prior art on using complex pulsed electroplating waveforms, including pulse reverse, direct current, or synchronous pulse, to deposit copper into through‑holes and blind micro‑vias on an electronic substrate while avoiding voids or cracking.",3,37,7,0.2692307692307692,26,failed_constraints
2025,12411429,9,summary,"Search for toner particles that blend amorphous and crystalline polyesters with release agents and outer resin granules; the crystalline fraction on each particle's exterior falls between 2.5‑25%, while aggregated outer resin particles cover 1‑70% of the surface.",3,41,0,0.0,26,ok
2025,12411429,9,keyword,"Search for toner particles comprising amorphous and rigid polymer fractions, a release lubricant, and surface‐deposited resin aggregates sized 3× the smallest particle, with 2.5–25 % surface rigid polymer as seen by TEM, 1–70 % aggregate coverage measured by SEM.",2,41,0,0.0,26,ok
2025,12411429,9,function,toner particles that contain a crystalline polyester surface layer at 2–25 % and resin particle aggregates 1–70 % to enhance developer efficiency and minimize toner fusing defects in electrophotographic printers.,1,30,0,0.0,19,ok
2025,12333244,6,summary,"How can an AI system identify and separate address elements in documents, compare them against a database for accuracy, and automatically perform actions based on the comparison, without using specific neural network or entity recognition titles?",2,36,0,0.0,24,ok
2025,12333244,6,keyword,"Search prior art for AI‑driven systems that extract, parse, and score address components from documents using graph‑based neural techniques and character‑level embeddings, then match against stored address data to trigger automated actions.",2,35,0,0.0,27,ok
2025,12333244,6,function,"search for AI methods that automatically extract address data from documents, segment into components, compare with a reference database using scoring, and trigger actions based on match outcomes, focusing on graph-structured representations and character-level embeddings.",2,37,0,0.0,25,ok
2025,12374421,16,summary,"A computational screening method for cancer MHC‑peptide epitopes that employs PCA‑derived amino‑acid descriptors and neural‑network predictions to generate, rank thousands of sequence variants, then select high‑affinity peptides for vaccine synthesis.",1,35,0,0.0,26,ok
2025,12374421,16,keyword,"Search for methods combining amino acid physicochemical property datasets, principal component analysis, proxy descriptors, and machine learning algorithms to predict MHC class I binding for variant cancer epitopes, including in‑silico peptide variant generation, binding affinity ranking, and immunogenic vaccine formulation.",3,41,2,0.0625,32,failed_constraints
2025,12374421,16,function,"Search for methods that identify and design cancer‑MHC binding peptides using physicochemical property matrices, dimensionality reduction, variant generation, computational binding prediction, synthesis of optimised peptides, formulation into vaccines, and clinical administration to induce anti‑tumor immunity.",3,37,0,0.0,28,ok
2025,12344784,17,summary,Search for polymers or monomers embedding cubic lead bromide nanocrystals that include a bromide-containing additive and a light‑scattering oxide such as strontium titanate or calcium titanate.,2,28,0,0.0,18,ok
2025,12344784,17,keyword,"Search for polymer or monomer matrices embedding CsPbBr3 perovskite quantum dots, bromide-based additives, and light‑scattering agents such as strontium titanate, calcium titanate, barium titanate, zinc titanate, or yttrium oxide within optoelectronic composite materials.",3,35,2,0.07142857142857142,28,failed_constraints
2025,12344784,17,function,"Search for polymer or monomer composites containing CsPbBr3‑based nanocrystals together with a bromide‑containing additive and a light‑scattering component such as SrTiO₃, CaTiO₃, BaTiO₃, ZnTiO₃, or Y₂O₃, aimed at enhancing optical dispersion in optoelectronic devices.",2,37,0,0.0,24,ok
2025,12379340,10,summary,"Looking for prior art on using an electrochemical sensor to produce a variable electrical signal that modulates a circuit’s characteristic frequency, enabling remote wireless reading of the frequency shift to estimate a physiological measurement such as blood glucose, and methods for calibration.",1,43,0,0.0,26,ok
2025,12379340,10,keyword,"Search for wireless glucose monitoring employing an electrochemical sensor that outputs a current converted to a frequency-modulated signal via a resonant circuit, detected by an RFID-like reader, with methods for device calibration and characterization.",3,36,0,0.0,22,ok
2025,12379340,10,function,"Search for systems where a body‑sensing element that outputs a current proportional to glucose concentration is linked to an electronic circuit whose resonant frequency changes with the current, and a remote reader detects this frequency shift to infer the glucose level.",2,42,0,0.0,24,ok
2025,12357649,16,summary,"Topical emulsion for treating skin cancer comprising glycoalkaloids such as solasodine glycosides, xanthan gum as viscosity modifier, lactic acid keratolytic, and preservative system, designed to protect the active compounds from degradation.",2,31,0,0.0,22,ok
2025,12357649,16,keyword,"Topical emulsion of solasodine glycoside with xanthan gum viscosity modifier (0.2‑2 %), keratolytic lactic acid (5‑10 %), salicylic acid (5‑10 %), urea (3‑5 %), cetomacrogol emulsifier, paraffin oil, humectant, antiseptic, aqueous phase for cutaneous cancer therapy.",3,37,2,0.08,25,failed_constraints
2025,12357649,16,function,"topical anti‑cancer cream comprising solasonine or solamargine with a xanthan‑gum base, lactic acid, salicylic acid and urea, formulated as a stabilized emulsion to deliver glycoalkaloids for cutaneous malignancy treatment.",3,31,1,0.047619047619047616,21,failed_constraints
2025,12188672,30,summary,"An AI‑based HVAC controller that uses reinforcement learning to choose temperature actions, evaluates a delayed reward after the time required to reach a target setpoint, and updates its policy by omitting intermediary states, thereby enhancing comfort and energy efficiency.",1,40,0,0.0,27,ok
2025,12188672,30,keyword,"reinforcement learning HVAC control with delayed reward for temperature target attainment, reward computed after temperature change period, excluding intermediate states, using computing device for predictive control action.",1,27,0,0.0,22,ok
2025,12188672,30,function,"Search for reinforcement‑learning based HVAC control that calculates delayed reward after a specified temperature‑settling interval, evaluating the action’s effect on heating, ventilation or cooling while excluding the period between action initiation and reward observation.",2,37,0,0.0,26,ok
2025,12315932,1,summary,"Search for lithium‑ion battery anodes employing a high‑molecular‑weight binder polymer with methacrylamide and acrylic acid units, crosslinked via bisacrylamide, containing acrylonitrile additive, and loaded with ≥70 wt % silicon‑based active material for improved capacity and cycling.",1,39,0,0.0,29,ok
2025,12315932,1,keyword,"Search for lithium‑ion battery anodes employing high‑molecular‑weight polyacrylamide binders with acrylonitrile, N,N’-methylenebisacrylamide, and acrylic acid, and containing over 70 wt% silicon‑based active materials such as SiOx, SiC, or silicon alloys.",3,36,0,0.0,26,ok
